id,plant_id,account_type,category,is_active,plant_name,unit,    plant_condition,year,compensation_price,notes
40,PLTA0018,A,ก,1,กร่าง,ต้น,มีผล/ขนาดใหญ่,2559,350,
41,PLTA0019,A,ก,1,กฤษณา,ต้น,ไม่มีผล/ขนาดเล็ก,2559,"1,500",
42,PLTA0019,A,ก,1,กฤษณา,ต้น,มีผล/ขนาดใหญ่,2559,"3,000",
43,PLTA0020,A,ก,1,กล้วยพันธุ์ดี,กอ,ไม่มีผล/ขนาดเล็ก,2559,,"กล้วย ลักษณะเกิดขึ้นเป็นกอ 
1) ถ้ามี 1 - 3 ต้นในกอ ให้ค่าทดแทนเป็นหน่วยต้น
2) ถ้ามีมากกว่า 3 ต้นขึ้นไป ให้นับเป็น 1 กอ ให้ค่าทดแทนเป็นหน่วยกอ"
44,PLTA0020,A,ก,1,กล้วยพันธุ์ดี,กอ,มีผล/ขนาดใหญ่,2559,,"กล้วย ลักษณะเกิดขึ้นเป็นกอ 
1) ถ้ามี 1 - 3 ต้นในกอ ให้ค่าทดแทนเป็นหน่วยต้น
2) ถ้ามีมากกว่า 3 ต้นขึ้นไป ให้นับเป็น 1 กอ ให้ค่าทดแทนเป็นหน่วยกอ"
45,PLTA0020,A,ก,1,กล้วยพันธุ์ดี,ต้น,ไม่มีผล/ขนาดเล็ก,2559,,"กล้วย ลักษณะเกิดขึ้นเป็นกอ 
1) ถ้ามี 1 - 3 ต้นในกอ ให้ค่าทดแทนเป็นหน่วยต้น
2) ถ้ามีมากกว่า 3 ต้นขึ้นไป ให้นับเป็น 1 กอ ให้ค่าทดแทนเป็นหน่วยกอ"
46,PLTA0020,A,ก,1,กล้วยพันธุ์ดี,ต้น,มีผล/ขนาดใหญ่,2559,,"กล้วย ลักษณะเกิดขึ้นเป็นกอ 
1) ถ้ามี 1 - 3 ต้นในกอ ให้ค่าทดแทนเป็นหน่วยต้น
2) ถ้ามีมากกว่า 3 ต้นขึ้นไป ให้นับเป็น 1 กอ ให้ค่าทดแทนเป็นหน่วยกอ"
47,PLTA0021,A,ก,1,กล้วยพันธุ์ทั่วไป,กอ,ไม่มีผล/ขนาดเล็ก,2559,,"กล้วย ลักษณะเกิดขึ้นเป็นกอ 
1) ถ้ามี 1 - 3 ต้นในกอ ให้ค่าทดแทนเป็นหน่วยต้น
2) ถ้ามีมากกว่า 3 ต้นขึ้นไป ให้นับเป็น 1 กอ ให้ค่าทดแทนเป็นหน่วยกอ"
48,PLTA0021,A,ก,1,กล้วยพันธุ์ทั่วไป,กอ,มีผล/ขนาดใหญ่,2559,,"กล้วย ลักษณะเกิดขึ้นเป็นกอ 
1) ถ้ามี 1 - 3 ต้นในกอ ให้ค่าทดแทนเป็นหน่วยต้น
2) ถ้ามีมากกว่า 3 ต้นขึ้นไป ให้นับเป็น 1 กอ ให้ค่าทดแทนเป็นหน่วยกอ"
49,PLTA0021,A,ก,1,กล้วยพันธุ์ทั่วไป,ต้น,ไม่มีผล/ขนาดเล็ก,2559,,"กล้วย ลักษณะเกิดขึ้นเป็นกอ 
1) ถ้ามี 1 - 3 ต้นในกอ ให้ค่าทดแทนเป็นหน่วยต้น
2) ถ้ามีมากกว่า 3 ต้นขึ้นไป ให้นับเป็น 1 กอ ให้ค่าทดแทนเป็นหน่วยกอ"
50,PLTA0021,A,ก,1,กล้วยพันธุ์ทั่วไป,ต้น,มีผล/ขนาดใหญ่,2559,,"กล้วย ลักษณะเกิดขึ้นเป็นกอ 
1) ถ้ามี 1 - 3 ต้นในกอ ให้ค่าทดแทนเป็นหน่วยต้น
2) ถ้ามีมากกว่า 3 ต้นขึ้นไป ให้นับเป็น 1 กอ ให้ค่าทดแทนเป็นหน่วยกอ"
51,PLTA0022,A,ก,1,กล้วยพัด,ต้น,ไม่มีผล/ขนาดเล็ก,2559,"1,200",
52,PLTA0022,A,ก,1,กล้วยพัด,ต้น,มีผล/ขนาดใหญ่,2559,"2,000",
53,PLTA0023,A,ก,1,ก่อ,ต้น,ไม่มีผล/ขนาดเล็ก,2559,150,
54,PLTA0023,A,ก,1,ก่อ,ต้น,มีผล/ขนาดใหญ่,2559,300,
55,PLTA0024,A,ก,1,กะทัง,ต้น,ไม่มีผล/ขนาดเล็ก,2559,20,
56,PLTA0024,A,ก,1,กะทัง,ต้น,มีผล/ขนาดใหญ่,2559,40,
